age,marital,education_level,job_type,income_level,contact,day_of_week,duration_mins,campaign,previous,poutcome,was_contacted_before,deposited_before,y
49,married,low,blue-collar,mid,cellular,wed,4,4,0,nonexistent,False,False,no
37,married,high,white-collar,high,telephone,wed,3,2,1,failure,True,False,no
78,married,low,out-of-workforce,low,cellular,mon,19,1,0,nonexistent,False,False,yes
36,married,high,white-collar,mid,telephone,mon,2,2,0,nonexistent,False,False,no
59,divorced,high,out-of-workforce,low,cellular,tue,6,2,0,nonexistent,False,False,no
29,single,high,white-collar,mid,cellular,wed,4,2,0,nonexistent,False,False,no
26,single,low,out-of-workforce,low,telephone,wed,7,1,0,nonexistent,False,False,yes
30,married,low,blue-collar,mid,cellular,wed,2,2,0,nonexistent,False,False,no
50,married,low,blue-collar,mid,telephone,fri,10,1,0,nonexistent,False,False,no
33,single,mid,white-collar,mid,cellular,tue,8,5,0,nonexistent,False,False,no
44,divorced,mid,blue-collar,mid,cellular,mon,3,5,0,nonexistent,False,False,no
32,married,high,blue-collar,mid,telephone,fri,2,5,0,nonexistent,False,False,no
26,single,mid,white-collar,mid,cellular,thu,1,1,0,nonexistent,False,False,no
43,married,high,white-collar,high,telephone,thu,3,1,0,nonexistent,False,False,no
56,married,low,blue-collar,mid,cellular,thu,6,1,0,nonexistent,False,False,no
40,married,low,blue-collar,mid,cellular,wed,16,1,0,nonexistent,False,False,yes
32,divorced,high,white-collar,mid,cellular,tue,2,1,0,nonexistent,False,False,no
47,single,mid,blue-collar,mid,telephone,tue,2,5,0,nonexistent,False,False,no
50,single,low,blue-collar,mid,telephone,tue,2,9,0,nonexistent,False,False,no
34,single,high,white-collar,mid,cellular,tue,5,2,1,success,True,True,yes
46,married,high,blue-collar,mid,cellular,tue,3,1,0,nonexistent,False,False,no
39,married,low,blue-collar,mid,cellular,thu,3,1,0,nonexistent,False,False,no
41,divorced,low,white-collar,mid,telephone,mon,2,1,0,nonexistent,False,False,no
30,single,low,blue-collar,mid,telephone,mon,2,3,0,nonexistent,False,False,no
55,divorced,high,out-of-workforce,low,cellular,tue,4,3,3,success,True,True,yes
33,single,low,blue-collar,mid,cellular,fri,2,1,1,failure,True,False,no
46,married,mid,blue-collar,mid,cellular,wed,5,2,0,nonexistent,False,False,no
38,divorced,mid,blue-collar,mid,cellular,wed,5,1,0,nonexistent,False,False,no
36,divorced,high,white-collar,mid,cellular,wed,2,1,0,nonexistent,False,False,no
30,single,mid,blue-collar,mid,cellular,thu,2,1,0,nonexistent,False,False,no
34,single,mid,blue-collar,mid,telephone,fri,4,7,0,nonexistent,False,False,no
63,married,low,out-of-workforce,low,cellular,thu,3,1,0,nonexistent,False,False,no
46,single,high,white-collar,mid,cellular,tue,19,3,1,failure,True,False,no
44,divorced,mid,white-collar,mid,cellular,thu,2,1,1,failure,True,False,no
55,married,low,out-of-workforce,low,cellular,wed,1,1,0,nonexistent,False,False,no
32,single,high,white-collar,mid,cellular,fri,13,5,0,nonexistent,False,False,no
34,married,high,white-collar,mid,cellular,wed,4,1,0,nonexistent,False,False,no
33,married,high,white-collar,mid,telephone,tue,6,5,0,nonexistent,False,False,no
34,married,low,blue-collar,mid,cellular,fri,1,1,1,failure,True,False,no
23,married,mid,white-collar,mid,cellular,mon,5,4,0,nonexistent,False,False,no
