age,marital,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,y,duration_mins,education_level,job_type,income_level
49,married,no,no,cellular,nov,wed,4,0,nonexistent,no,4,low,blue-collar,low
37,married,no,no,telephone,nov,wed,2,1,failure,no,3,high,white-collar,high
78,married,no,no,cellular,jul,mon,1,0,nonexistent,yes,19,low,out-of-workforce,low
36,married,yes,no,telephone,may,mon,2,0,nonexistent,no,2,high,white-collar,high
59,divorced,no,no,cellular,jun,tue,2,0,nonexistent,no,6,high,out-of-workforce,low
29,single,no,no,cellular,aug,wed,2,0,nonexistent,no,4,high,white-collar,high
26,single,no,no,telephone,aug,wed,1,0,nonexistent,yes,7,low,out-of-workforce,low
30,married,yes,no,cellular,nov,wed,2,0,nonexistent,no,2,low,blue-collar,low
50,married,no,no,telephone,may,fri,1,0,nonexistent,no,10,low,blue-collar,low
33,single,yes,no,cellular,jul,tue,5,0,nonexistent,no,8,mid,white-collar,high
44,divorced,yes,no,cellular,jul,mon,5,0,nonexistent,no,3,mid,blue-collar,mid
32,married,yes,no,telephone,may,fri,5,0,nonexistent,no,2,high,blue-collar,mid
26,single,yes,no,cellular,jul,thu,1,0,nonexistent,no,1,mid,white-collar,mid
43,married,no,yes,telephone,jul,thu,1,0,nonexistent,no,3,high,white-collar,high
56,married,no,no,cellular,may,thu,1,0,nonexistent,no,6,low,blue-collar,low
40,married,yes,no,cellular,may,wed,1,0,nonexistent,yes,16,low,blue-collar,low
32,divorced,yes,no,cellular,aug,tue,1,0,nonexistent,no,2,high,white-collar,high
47,single,no,no,telephone,may,tue,5,0,nonexistent,no,2,mid,blue-collar,mid
50,single,yes,no,telephone,may,tue,9,0,nonexistent,no,2,low,blue-collar,mid
34,single,no,yes,cellular,mar,tue,2,1,success,yes,5,high,white-collar,high
46,married,no,no,cellular,aug,tue,1,0,nonexistent,no,3,high,blue-collar,mid
39,married,no,no,cellular,may,thu,1,0,nonexistent,no,3,low,blue-collar,low
41,divorced,no,no,telephone,jul,mon,1,0,nonexistent,no,2,low,white-collar,high
30,single,yes,no,telephone,may,mon,3,0,nonexistent,no,2,low,blue-collar,mid
55,divorced,no,no,cellular,mar,tue,3,3,success,yes,4,high,out-of-workforce,low
33,single,yes,no,cellular,oct,fri,1,1,failure,no,2,low,blue-collar,low
46,married,no,no,cellular,apr,wed,2,0,nonexistent,no,5,mid,blue-collar,mid
38,divorced,yes,yes,cellular,nov,wed,1,0,nonexistent,no,5,mid,blue-collar,low
36,divorced,yes,yes,cellular,jul,wed,1,0,nonexistent,no,2,high,white-collar,high
30,single,yes,no,cellular,aug,thu,1,0,nonexistent,no,2,mid,blue-collar,mid
34,single,no,no,telephone,jun,fri,7,0,nonexistent,no,4,mid,blue-collar,mid
63,married,no,no,cellular,aug,thu,1,0,nonexistent,no,3,low,out-of-workforce,low
46,single,yes,no,cellular,nov,tue,3,1,failure,no,19,high,white-collar,high
44,divorced,yes,yes,cellular,jun,thu,1,1,failure,no,2,mid,white-collar,mid
55,married,yes,yes,cellular,aug,wed,1,0,nonexistent,no,1,low,out-of-workforce,low
32,single,no,no,cellular,may,fri,5,0,nonexistent,no,13,high,white-collar,high
34,married,no,no,cellular,jul,wed,1,0,nonexistent,no,4,high,white-collar,high
33,married,no,no,telephone,may,tue,5,0,nonexistent,no,6,high,white-collar,mid
34,married,yes,no,cellular,apr,fri,1,1,failure,no,1,low,blue-collar,low
23,married,no,no,cellular,apr,mon,4,0,nonexistent,no,5,mid,white-collar,high
39,married,no,no,cellular,may,fri,1,0,nonexistent,no,2,low,blue-collar,low
30,married,no,no,telephone,may,fri,2,0,nonexistent,no,5,high,blue-collar,mid
41,divorced,no,no,cellular,apr,thu,2,1,failure,yes,13,mid,blue-collar,mid
55,married,yes,no,cellular,aug,thu,4,0,nonexistent,no,1,low,blue-collar,mid
30,married,no,no,telephone,jun,fri,1,0,nonexistent,no,1,high,white-collar,high
48,divorced,no,yes,cellular,jul,mon,4,0,nonexistent,no,1,mid,blue-collar,mid
36,single,yes,no,cellular,aug,thu,1,0,nonexistent,yes,8,mid,blue-collar,mid
46,married,yes,yes,cellular,nov,tue,1,1,failure,no,3,low,white-collar,mid
48,single,no,no,cellular,apr,mon,2,0,nonexistent,no,4,mid,white-collar,high
36,married,yes,no,telephone,jun,mon,4,0,nonexistent,no,2,mid,white-collar,high
53,married,yes,no,telephone,may,wed,1,0,nonexistent,no,4,high,white-collar,mid
56,married,yes,yes,telephone,may,wed,4,0,nonexistent,no,1,low,out-of-workforce,low
48,married,no,yes,cellular,aug,thu,3,0,nonexistent,no,11,mid,blue-collar,low
35,married,no,no,cellular,may,fri,1,1,failure,no,4,low,blue-collar,low
50,married,yes,no,cellular,aug,thu,4,0,nonexistent,no,5,mid,white-collar,high
32,single,yes,yes,cellular,apr,mon,1,1,failure,no,4,mid,blue-collar,mid
37,single,no,no,telephone,jun,mon,2,0,nonexistent,no,3,high,blue-collar,mid
56,divorced,no,no,telephone,may,mon,1,0,nonexistent,no,3,mid,blue-collar,mid
35,single,yes,no,cellular,jul,tue,6,0,nonexistent,no,2,low,blue-collar,low
51,married,yes,no,cellular,may,wed,2,0,nonexistent,yes,7,low,blue-collar,low
51,married,no,no,cellular,jun,mon,4,0,nonexistent,yes,5,high,white-collar,high
44,divorced,yes,no,cellular,apr,thu,2,0,nonexistent,no,3,mid,blue-collar,mid
36,married,yes,no,telephone,may,mon,2,0,nonexistent,no,2,low,blue-collar,low
36,married,no,no,cellular,jul,thu,2,0,nonexistent,no,10,high,out-of-workforce,low
47,single,no,no,cellular,aug,thu,3,0,nonexistent,no,5,high,white-collar,high
30,single,yes,no,cellular,aug,fri,1,0,nonexistent,no,2,mid,blue-collar,mid
32,married,no,no,cellular,jul,thu,4,0,nonexistent,no,1,high,white-collar,high
39,married,yes,no,telephone,jul,wed,4,0,nonexistent,no,3,high,white-collar,high
71,married,no,no,cellular,sep,fri,1,0,nonexistent,no,5,mid,out-of-workforce,low
34,single,no,no,cellular,nov,wed,1,0,nonexistent,no,6,mid,white-collar,high
32,single,no,no,telephone,may,tue,1,0,nonexistent,no,1,high,white-collar,high
58,married,no,no,telephone,may,fri,1,0,nonexistent,no,4,low,blue-collar,mid
21,single,no,no,cellular,jul,wed,1,0,nonexistent,no,4,low,blue-collar,low
39,married,yes,no,cellular,may,fri,6,0,nonexistent,no,0,low,blue-collar,low
39,married,no,yes,telephone,may,wed,7,0,nonexistent,no,3,mid,white-collar,high
39,married,yes,no,cellular,nov,tue,1,0,nonexistent,no,1,mid,white-collar,high
45,married,no,no,telephone,may,tue,2,0,nonexistent,no,2,low,blue-collar,low
40,single,no,no,telephone,may,tue,2,0,nonexistent,no,6,mid,white-collar,high
49,married,no,no,cellular,aug,tue,13,0,nonexistent,no,0,mid,white-collar,high
48,single,yes,yes,telephone,may,fri,2,0,nonexistent,no,2,mid,blue-collar,mid
25,single,no,no,telephone,may,tue,3,0,nonexistent,no,4,mid,white-collar,high
49,divorced,yes,no,cellular,jul,wed,1,0,nonexistent,no,5,low,blue-collar,low
33,single,no,no,cellular,may,mon,3,0,nonexistent,no,2,low,blue-collar,low
35,single,no,no,cellular,jul,fri,2,0,nonexistent,no,1,low,blue-collar,mid
33,married,no,no,cellular,jul,mon,2,0,nonexistent,no,10,high,white-collar,high
36,married,no,no,telephone,jun,mon,2,0,nonexistent,no,3,low,blue-collar,low
49,single,no,no,telephone,may,tue,5,0,nonexistent,no,6,mid,white-collar,high
30,married,no,no,cellular,may,fri,1,1,failure,no,1,high,white-collar,high
77,married,yes,yes,cellular,jul,tue,2,1,success,yes,4,low,out-of-workforce,low
34,married,yes,no,telephone,may,fri,1,0,nonexistent,no,4,high,white-collar,high
48,divorced,no,no,cellular,may,thu,6,0,nonexistent,no,1,high,white-collar,high
44,married,no,yes,telephone,jul,mon,5,0,nonexistent,no,1,mid,white-collar,high
50,married,no,no,telephone,may,thu,1,0,nonexistent,no,3,mid,out-of-workforce,low
49,married,no,no,cellular,jul,thu,1,0,nonexistent,no,2,low,blue-collar,low
28,single,no,no,cellular,aug,thu,5,0,nonexistent,yes,8,high,white-collar,high
50,divorced,no,no,telephone,may,fri,3,0,nonexistent,no,15,low,blue-collar,low
40,single,yes,no,cellular,jun,tue,1,1,failure,no,3,mid,white-collar,high
48,married,no,no,cellular,may,fri,8,0,nonexistent,no,0,low,blue-collar,mid
32,married,yes,yes,telephone,jul,thu,6,0,nonexistent,no,1,high,blue-collar,mid
29,married,no,no,telephone,jun,mon,1,0,nonexistent,no,4,mid,white-collar,high
