age,job,marital,education,contact,day_of_week,campaign,previous,poutcome,duration_mins,education_level,job_type,income_level,was_contacted_before,deposited_before,y
49,blue-collar,married,basic.9y,cellular,wed,4,0,nonexistent,4,low,blue-collar,mid,False,False,no
37,entrepreneur,married,university.degree,telephone,wed,2,1,failure,3,high,entrepreneur,high,True,False,no
70,retired,married,basic.4y,cellular,mon,1,0,nonexistent,19,low,retired,low,False,False,yes
36,admin.,married,university.degree,telephone,mon,2,0,nonexistent,2,high,white-collar,mid,False,False,no
59,retired,divorced,university.degree,cellular,tue,2,0,nonexistent,6,high,retired,low,False,False,no
29,admin.,single,university.degree,cellular,wed,2,0,nonexistent,4,high,white-collar,mid,False,False,no
26,student,single,basic.9y,telephone,wed,1,0,nonexistent,7,low,student,low,False,False,yes
30,blue-collar,married,basic.4y,cellular,wed,2,0,nonexistent,2,low,blue-collar,mid,False,False,no
50,blue-collar,married,basic.4y,telephone,fri,1,0,nonexistent,10,low,blue-collar,mid,False,False,no
33,admin.,single,high.school,cellular,tue,5,0,nonexistent,8,mid,white-collar,mid,False,False,no
44,services,divorced,high.school,cellular,mon,5,0,nonexistent,3,mid,blue-collar,mid,False,False,no
32,technician,married,university.degree,telephone,fri,5,0,nonexistent,2,high,blue-collar,mid,False,False,no
26,self-employed,single,professional.course,cellular,thu,1,0,nonexistent,1,mid,entrepreneur,mid,False,False,no
43,management,married,university.degree,telephone,thu,1,0,nonexistent,3,high,white-collar,high,False,False,no
56,blue-collar,married,basic.9y,cellular,thu,1,0,nonexistent,6,low,blue-collar,mid,False,False,no
40,blue-collar,married,basic.9y,cellular,wed,1,0,nonexistent,16,low,blue-collar,mid,False,False,yes
32,admin.,divorced,university.degree,cellular,tue,1,0,nonexistent,2,high,white-collar,mid,False,False,no
47,technician,single,professional.course,telephone,tue,5,0,nonexistent,2,mid,blue-collar,mid,False,False,no
50,services,single,basic.4y,telephone,tue,9,0,nonexistent,2,low,blue-collar,mid,False,False,no
34,admin.,single,university.degree,cellular,tue,2,1,success,5,high,white-collar,mid,True,True,yes
46,services,married,professional.course,cellular,tue,1,0,nonexistent,3,mid,blue-collar,mid,False,False,no
39,blue-collar,married,basic.4y,cellular,thu,1,0,nonexistent,3,low,blue-collar,mid,False,False,no
41,admin.,divorced,basic.6y,telephone,mon,1,0,nonexistent,2,low,white-collar,mid,False,False,no
30,technician,single,professional.course,telephone,mon,3,0,nonexistent,2,mid,blue-collar,mid,False,False,no
55,unemployed,divorced,university.degree,cellular,tue,3,3,success,4,high,unemployed,low,True,True,yes
33,blue-collar,single,basic.4y,cellular,fri,1,1,failure,2,low,blue-collar,mid,True,False,no
46,services,married,high.school,cellular,wed,2,0,nonexistent,5,mid,blue-collar,mid,False,False,no
38,blue-collar,divorced,high.school,cellular,wed,1,0,nonexistent,5,mid,blue-collar,mid,False,False,no
36,admin.,divorced,university.degree,cellular,wed,1,0,nonexistent,2,high,white-collar,mid,False,False,no
30,technician,single,professional.course,cellular,thu,1,0,nonexistent,2,mid,blue-collar,mid,False,False,no
34,technician,single,high.school,telephone,fri,7,0,nonexistent,4,mid,blue-collar,mid,False,False,no
63,retired,married,basic.4y,cellular,thu,1,0,nonexistent,3,low,retired,low,False,False,no
46,admin.,single,university.degree,cellular,tue,3,1,failure,19,high,white-collar,mid,True,False,no
44,self-employed,divorced,professional.course,cellular,thu,1,1,failure,2,mid,entrepreneur,mid,True,False,no
55,retired,married,basic.4y,cellular,wed,1,0,nonexistent,1,low,retired,low,False,False,no
32,admin.,single,university.degree,cellular,fri,5,0,nonexistent,13,high,white-collar,mid,False,False,no
34,admin.,married,university.degree,cellular,wed,1,0,nonexistent,4,high,white-collar,mid,False,False,no
33,self-employed,married,university.degree,telephone,tue,5,0,nonexistent,6,high,entrepreneur,mid,False,False,no
34,blue-collar,married,basic.9y,cellular,fri,1,1,failure,1,low,blue-collar,mid,True,False,no
23,admin.,married,high.school,cellular,mon,4,0,nonexistent,5,mid,white-collar,mid,False,False,no
39,blue-collar,married,basic.6y,cellular,fri,1,0,nonexistent,2,low,blue-collar,mid,False,False,no
30,technician,married,university.degree,telephone,fri,2,0,nonexistent,5,high,blue-collar,mid,False,False,no
41,technician,divorced,professional.course,cellular,thu,2,1,failure,13,mid,blue-collar,mid,True,False,yes
55,technician,married,high.school,cellular,thu,4,0,nonexistent,1,mid,blue-collar,mid,False,False,no
30,admin.,married,university.degree,telephone,fri,1,0,nonexistent,1,high,white-collar,mid,False,False,no
48,services,divorced,high.school,cellular,mon,4,0,nonexistent,1,mid,blue-collar,mid,False,False,no
36,technician,single,professional.course,cellular,thu,1,0,nonexistent,8,mid,blue-collar,mid,False,False,yes
46,self-employed,married,basic.4y,cellular,tue,1,1,failure,3,low,entrepreneur,mid,True,False,no
48,admin.,single,high.school,cellular,mon,2,0,nonexistent,4,mid,white-collar,mid,False,False,no
36,entrepreneur,married,high.school,telephone,mon,4,0,nonexistent,2,mid,entrepreneur,high,False,False,no
53,self-employed,married,university.degree,telephone,wed,1,0,nonexistent,4,high,entrepreneur,mid,False,False,no
56,retired,married,basic.9y,telephone,wed,4,0,nonexistent,1,low,retired,low,False,False,no
48,blue-collar,married,basic.9y,cellular,thu,3,0,nonexistent,11,low,blue-collar,mid,False,False,no
35,blue-collar,married,basic.9y,cellular,fri,1,1,failure,4,low,blue-collar,mid,True,False,no
50,entrepreneur,married,professional.course,cellular,thu,4,0,nonexistent,5,mid,entrepreneur,high,False,False,no
32,technician,single,professional.course,cellular,mon,1,1,failure,4,mid,blue-collar,mid,True,False,no
37,technician,single,university.degree,telephone,mon,2,0,nonexistent,3,high,blue-collar,mid,False,False,no
56,services,divorced,high.school,telephone,mon,1,0,nonexistent,3,mid,blue-collar,mid,False,False,no
35,blue-collar,single,basic.9y,cellular,tue,6,0,nonexistent,2,low,blue-collar,mid,False,False,no
51,blue-collar,married,basic.4y,cellular,wed,2,0,nonexistent,7,low,blue-collar,mid,False,False,yes
51,admin.,married,university.degree,cellular,mon,4,0,nonexistent,5,high,white-collar,mid,False,False,yes
44,technician,divorced,professional.course,cellular,thu,2,0,nonexistent,3,mid,blue-collar,mid,False,False,no
36,blue-collar,married,basic.9y,telephone,mon,2,0,nonexistent,2,low,blue-collar,mid,False,False,no
36,unemployed,married,university.degree,cellular,thu,2,0,nonexistent,10,high,unemployed,low,False,False,no
47,admin.,single,university.degree,cellular,thu,3,0,nonexistent,5,high,white-collar,mid,False,False,no
30,technician,single,professional.course,cellular,fri,1,0,nonexistent,2,mid,blue-collar,mid,False,False,no
32,admin.,married,university.degree,cellular,thu,4,0,nonexistent,1,high,white-collar,mid,False,False,no
39,admin.,married,university.degree,telephone,wed,4,0,nonexistent,3,high,white-collar,mid,False,False,no
70,retired,married,professional.course,cellular,fri,1,0,nonexistent,5,mid,retired,low,False,False,no
34,admin.,single,high.school,cellular,wed,1,0,nonexistent,6,mid,white-collar,mid,False,False,no
32,admin.,single,university.degree,telephone,tue,1,0,nonexistent,1,high,white-collar,mid,False,False,no
58,services,married,basic.4y,telephone,fri,1,0,nonexistent,4,low,blue-collar,mid,False,False,no
21,blue-collar,single,basic.9y,cellular,wed,1,0,nonexistent,4,low,blue-collar,mid,False,False,no
39,blue-collar,married,basic.9y,cellular,fri,6,0,nonexistent,0,low,blue-collar,mid,False,False,no
39,entrepreneur,married,high.school,telephone,wed,7,0,nonexistent,3,mid,entrepreneur,high,False,False,no
39,management,married,high.school,cellular,tue,1,0,nonexistent,1,mid,white-collar,high,False,False,no
45,blue-collar,married,basic.9y,telephone,tue,2,0,nonexistent,2,low,blue-collar,mid,False,False,no
40,admin.,single,high.school,telephone,tue,2,0,nonexistent,6,mid,white-collar,mid,False,False,no
49,admin.,married,high.school,cellular,tue,10,0,nonexistent,0,mid,white-collar,mid,False,False,no
48,technician,single,high.school,telephone,fri,2,0,nonexistent,2,mid,blue-collar,mid,False,False,no
25,admin.,single,high.school,telephone,tue,3,0,nonexistent,4,mid,white-collar,mid,False,False,no
49,blue-collar,divorced,basic.6y,cellular,wed,1,0,nonexistent,5,low,blue-collar,mid,False,False,no
33,blue-collar,single,basic.9y,cellular,mon,3,0,nonexistent,2,low,blue-collar,mid,False,False,no
